"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"emil","2010-07-19 15:59:00.000","140.162","-10.109","FALSE"
"emil","2010-07-19 17:31:00.000","140.118","-10.097","FALSE"
"emil","2010-07-19 17:40:00.000","140.117","-10.096","FALSE"
"emil","2010-07-19 18:35:00.000","140.099","-10.082","FALSE"
"emil","2010-07-19 20:16:00.000","140.072","-10.056","FALSE"
"emil","2010-07-19 20:20:00.000","140.079","-10.059","FALSE"
"emil","2010-07-19 21:57:00.000","140.076","-10.025","TRUE"
"emil","2010-07-19 22:01:00.000","140.063","-10.036","FALSE"
"emil","2010-07-20 06:10:00.000","139.994","-9.985","FALSE"
"emil","2010-07-20 08:47:00.000","139.986","-9.935","FALSE"
"emil","2010-07-20 08:58:00.000","139.976","-9.932","FALSE"
"emil","2010-07-20 10:28:00.000","139.977","-9.93","FALSE"
"emil","2010-07-20 10:38:00.000","139.974","-9.926","FALSE"
"emil","2010-07-20 12:07:00.000","139.966","-9.933","FALSE"
"emil","2010-07-20 12:08:00.000","139.963","-9.934","TRUE"
"emil","2010-07-20 13:46:00.000","139.929","-9.927","FALSE"
"emil","2010-07-20 15:36:00.000","139.882","-9.938","FALSE"
"emil","2010-07-20 15:46:00.000","139.882","-9.938","FALSE"
"emil","2010-07-20 17:22:00.000","139.839","-9.939","FALSE"
"Max","2010-07-01 04:25:00.000","141.731","-12.207","FALSE"
"Max","2010-07-01 13:36:00.000","141.613","-12.147","FALSE"
"Max","2010-07-02 06:01:00.000","141.706","-12.19","FALSE"
"Max","2010-07-02 11:38:00.000","141.729","-12.119","FALSE"
"Max","2010-07-02 15:36:00.000","141.733","-12.14","FALSE"
"Max","2010-07-04 04:01:00.000","141.368","-12.01","TRUE"
"Max","2010-07-04 05:46:00.000","141.753","-12.106","FALSE"
"Max","2010-07-06 23:38:00.000","141.754","-12.106","FALSE"
"Max","2010-07-07 11:32:00.000","141.8","-12.106","TRUE"
"Max","2010-07-09 10:56:00.000","141.801","-12.154","TRUE"
"Max","2010-07-09 23:44:00.000","141.684","-12.109","FALSE"
"Max","2010-07-11 15:47:00.000","141.55","-11.992","FALSE"
"Max","2010-07-11 20:12:00.000","141.766","-12.199","TRUE"
"Max","2010-07-15 23:19:00.000","141.756","-12.17","FALSE"
"Max","2010-07-18 12:49:00.000","141.731","-12.213","FALSE"
"Max","2010-07-18 20:31:00.000","141.742","-12.206","FALSE"
"Max","2010-07-21 00:49:00.000","141.627","-12.189","FALSE"
"Max","2010-07-21 13:24:00.000","141.668","-12.2","FALSE"
"Max","2010-07-24 10:37:00.000","141.666","-12.202","FALSE"
"Max","2010-07-29 04:43:00.000","141.695","-12.098","FALSE"
"Max","2010-07-31 04:18:00.000","141.709","-12.092","FALSE"
"Max","2010-08-03 10:36:00.000","141.757","-12.044","FALSE"
"Max","2010-08-03 11:44:00.000","141.619","-12.061","FALSE"
"Max","2010-08-05 12:29:00.000","141.921","-11.985","TRUE"
"Max","2010-08-06 20:13:00.000","141.491","-11.934","FALSE"
"Max","2010-08-09 07:25:00.000","141.778","-12.056","FALSE"
"Max","2010-08-09 11:47:00.000","141.825","-12.142","TRUE"
"Max","2010-08-09 12:37:00.000","141.694","-12.085","TRUE"
"Max","2010-08-09 13:28:00.000","141.747","-12.077","FALSE"
"Max","2010-08-10 07:02:00.000","141.755","-12.059","FALSE"
"Max","2010-08-14 22:54:00.000","141.738","-12.036","FALSE"
"Max","2010-08-15 08:50:00.000","141.75","-12.079","FALSE"
"Max","2010-08-16 22:40:00.000","141.734","-12.063","FALSE"
"Max","2010-08-17 10:07:00.000","141.756","-12.064","FALSE"
"Max","2010-08-19 09:45:00.000","141.757","-12.071","FALSE"
"Max","2010-08-19 19:31:00.000","141.755","-12.088","FALSE"
"Max","2010-08-21 00:32:00.000","141.74","-12.062","FALSE"
"Max","2010-08-22 12:35:00.000","141.755","-12.069","FALSE"
"Max","2010-08-22 14:59:00.000","141.744","-12.078","FALSE"
"Max","2010-08-23 17:58:00.000","141.669","-12.069","FALSE"
"Max","2010-08-24 00:50:00.000","141.739","-12.069","FALSE"
"Max","2010-08-24 03:23:00.000","141.751","-12.067","FALSE"
"Max","2010-08-24 03:25:00.000","141.769","-12.061","TRUE"
"Max","2010-08-26 23:48:00.000","141.753","-12.077","FALSE"
"Max","2010-08-27 23:22:00.000","141.738","-12.071","FALSE"
"Max","2010-08-27 23:23:00.000","141.766","-12.078","TRUE"
"Max","2010-08-29 02:36:00.000","141.74","-12.067","FALSE"
"Max","2010-08-30 17:02:00.000","141.692","-12.069","FALSE"
"Max","2010-08-31 03:52:00.000","141.804","-12.067","FALSE"
"Max","2010-09-03 10:10:00.000","141.757","-12.062","FALSE"
"Max","2010-09-03 11:38:00.000","141.715","-12.108","FALSE"
"Max","2010-09-04 19:42:00.000","141.781","-12.116","FALSE"
"Max","2010-09-09 08:53:00.000","141.736","-12.063","FALSE"
"Max","2010-09-09 10:35:00.000","141.742","-12.058","FALSE"
"Max","2010-09-09 11:15:00.000","141.768","-12.059","FALSE"
"Max","2010-09-09 12:20:00.000","141.815","-12.077","TRUE"
"Max","2010-09-09 12:54:00.000","141.73","-12.077","FALSE"
"Max","2010-09-09 15:05:00.000","141.718","-12.064","FALSE"
